Sample,Time(S),CH1(V)
313,-4.687,0.390651
314,-4.686,0.390651
315,-4.685,0.390651
316,-4.684,0.390651
317,-4.683,0.390651
318,-4.682,0.390651
319,-4.681,0.390651
320,-4.68,0.387173
321,-4.679,0.387173
322,-4.678,0.387173
323,-4.677,0.381957
324,-4.676,0.378479
325,-4.675,0.375001
326,-4.674,0.371524
327,-4.673,0.369785
328,-4.672,0.366307
329,-4.671,0.36283
330,-4.67,0.357613
331,-4.669,0.354135
332,-4.668,0.352396
333,-4.667,0.350658
334,-4.666,0.34718
335,-4.665,0.34718
336,-4.664,0.348919
337,-4.663,0.348919
338,-4.662,0.350658
339,-4.661,0.354135
340,-4.66,0.357613
341,-4.659,0.359352
342,-4.658,0.368046
343,-4.657,0.368046
344,-4.656,0.371524
345,-4.655,0.375001
346,-4.654,0.37674
347,-4.653,0.378479
348,-4.652,0.378479
349,-4.651,0.381957
350,-4.65,0.378479
351,-4.649,0.378479
352,-4.648,0.37674
353,-4.647,0.373263
354,-4.646,0.368046
355,-4.645,0.359352
356,-4.644,0.354135
357,-4.643,0.345441
358,-4.642,0.338486
359,-4.641,0.328052
360,-4.64,0.319358
361,-4.639,0.307186
362,-4.638,0.296753
363,-4.637,0.289798
364,-4.636,0.277626
365,-4.635,0.268932
366,-4.634,0.258498
367,-4.633,0.251543
368,-4.632,0.244588
369,-4.631,0.232416
370,-4.63,0.223721
371,-4.629,0.216766
372,-4.628,0.208072
373,-4.627,0.197639
374,-4.626,0.187206
375,-4.625,0.178511
376,-4.624,0.169817
377,-4.623,0.159384
378,-4.622,0.15069
379,-4.621,0.138518
380,-4.62,0.129824
381,-4.619,0.121129
382,-4.618,0.110696
383,-4.617,0.103741
384,-4.616,0.0950465
385,-4.615,0.0863522
386,-4.614,0.0793968
387,-4.613,0.0724414
388,-4.612,0.0637472
389,-4.611,0.0550529
390,-4.61,0.0463587
391,-4.609,0.0341867
392,-4.608,0.0237536
393,-4.607,0.00810396
394,-4.606,-0.00232914
395,-4.605,-0.0179788
396,-4.604,-0.0353673
397,-4.603,-0.0492781
398,-4.602,-0.0649278
399,-4.601,-0.0840551
400,-4.6,-0.0979659
401,-4.599,-0.113616
402,-4.598,-0.127526
403,-4.597,-0.143176
404,-4.596,-0.157087
405,-4.595,-0.169259
406,-4.594,-0.184908
407,-4.593,-0.193603
408,-4.592,-0.205775
409,-4.591,-0.216208
410,-4.59,-0.224902
411,-4.589,-0.233596
412,-4.588,-0.238813
413,-4.587,-0.245768
414,-4.586,-0.249246
