Sample,Time(S),CH1(V)
395,-4.605,-0.0371062
396,-4.604,-0.0371062
397,-4.603,-0.0371062
398,-4.602,-0.0371062
399,-4.601,-0.0371062
400,-4.6,-0.0371062
401,-4.599,-0.0371062
402,-4.598,-0.0371062
403,-4.597,-0.0371062
404,-4.596,-0.0371062
405,-4.595,-0.0371062
406,-4.594,-0.0371062
407,-4.593,-0.0353673
408,-4.592,-0.0353673
409,-4.591,-0.0353673
410,-4.59,-0.0353673
411,-4.589,-0.0353673
412,-4.588,-0.0301508
413,-4.587,-0.0336285
414,-4.586,-0.0284119
415,-4.585,-0.0284119
416,-4.584,-0.0284119
417,-4.583,-0.0284119
418,-4.582,-0.0284119
419,-4.581,-0.0249342
420,-4.58,-0.0249342
421,-4.579,-0.0249342
422,-4.578,-0.0249342
423,-4.577,-0.0249342
424,-4.576,-0.0214565
425,-4.575,-0.0214565
426,-4.574,-0.0214565
427,-4.573,-0.0214565
428,-4.572,-0.0214565
429,-4.571,-0.0179788
430,-4.57,-0.0179788
431,-4.569,-0.0179788
432,-4.568,-0.0179788
433,-4.567,-0.0179788
434,-4.566,-0.0162399
435,-4.565,-0.0162399
436,-4.564,-0.0162399
437,-4.563,-0.0179788
438,-4.562,-0.0179788
439,-4.561,-0.0179788
440,-4.56,-0.0179788
441,-4.559,-0.0214565
442,-4.558,-0.0214565
443,-4.557,-0.0214565
444,-4.556,-0.0214565
445,-4.555,-0.0249342
446,-4.554,-0.0231954
447,-4.553,-0.0266731
448,-4.552,-0.0266731
449,-4.551,-0.0266731
450,-4.55,-0.0284119
451,-4.549,-0.0284119
452,-4.548,-0.0284119
453,-4.547,-0.0336285
454,-4.546,-0.0336285
455,-4.545,-0.0336285
456,-4.544,-0.0336285
457,-4.543,-0.0353673
458,-4.542,-0.0353673
459,-4.541,-0.0353673
460,-4.54,-0.0371062
461,-4.539,-0.0353673
462,-4.538,-0.038845
463,-4.537,-0.038845
464,-4.536,-0.038845
465,-4.535,-0.038845
466,-4.534,-0.038845
467,-4.533,-0.038845
468,-4.532,-0.038845
469,-4.531,-0.0371062
470,-4.53,-0.0405839
471,-4.529,-0.0405839
472,-4.528,-0.0405839
473,-4.527,-0.0405839
474,-4.526,-0.0405839
475,-4.525,-0.0405839
