Sample,Time(S),CH1(V)
542,-2.58e-06,-0.000589962
543,-2.57e-06,-0.000589962
544,-2.56e-06,0.000790078
545,-2.55e-06,-0.000589962
546,-2.54e-06,0.00217012
547,-2.53e-06,0.000790078
548,-2.52e-06,-0.000589962
549,-2.51e-06,-0.000589962
550,-2.5e-06,0.00217012
551,-2.49e-06,0.00217012
552,-2.48e-06,0.000790078
553,-2.47e-06,0.000790078
554,-2.46e-06,0.000790078
555,-2.45e-06,0.000790078
556,-2.44e-06,0.00217012
557,-2.43e-06,0.000790078
558,-2.42e-06,0.000790078
559,-2.41e-06,0.00217012
560,-2.4e-06,0.00217012
561,-2.39e-06,0.000790078
562,-2.38e-06,0.00217012
563,-2.37e-06,0.000790078
564,-2.36e-06,0.000790078
565,-2.35e-06,0.000790078
566,-2.34e-06,-0.000589962
567,-2.33e-06,-0.000589962
568,-2.32e-06,-0.000589962
569,-2.31e-06,0.000790078
570,-2.3e-06,-0.000589962
571,-2.29e-06,0.000790078
572,-2.28e-06,-0.000589962
573,-2.27e-06,0.000790078
574,-2.26e-06,-0.00197
575,-2.25e-06,-0.000589962
576,-2.24e-06,0.000790078
577,-2.23e-06,-0.000589962
578,-2.22e-06,0.000790078
579,-2.21e-06,0.000790078
580,-2.2e-06,-0.000589962
581,-2.19e-06,0.000790078
582,-2.18e-06,-0.000589962
583,-2.17e-06,0.000790078
584,-2.16e-06,-0.00197
585,-2.15e-06,-0.000589962
586,-2.14e-06,-0.00197
587,-2.13e-06,0.000790078
588,-2.12e-06,-0.00197
589,-2.11e-06,0.000790078
590,-2.1e-06,-0.00197
591,-2.09e-06,-0.000589962
592,-2.08e-06,-0.00197
593,-2.07e-06,0.000790078
594,-2.06e-06,-0.000589962
595,-2.05e-06,0.000790078
596,-2.04e-06,0.000790078
597,-2.03e-06,0.000790078
598,-2.02e-06,0.000790078
599,-2.01e-06,-0.00335004
600,-2e-06,0.000790078
601,-1.99e-06,-0.000589962
602,-1.98e-06,-0.00197
603,-1.97e-06,-0.000589962
604,-1.96e-06,-0.000589962
605,-1.95e-06,0.000790078
606,-1.94e-06,-0.000589962
