Sample,Time(S),CH1(V)
327,-4.673,0.0167982
328,-4.672,0.0167982
329,-4.671,0.0133205
330,-4.67,0.0150594
331,-4.669,0.0115817
332,-4.668,0.0133205
333,-4.667,0.00984281
334,-4.666,0.0115817
335,-4.665,0.0115817
336,-4.664,0.00984281
337,-4.663,0.00984281
338,-4.662,0.00984281
339,-4.661,0.00984281
340,-4.66,0.00984281
341,-4.659,0.00984281
342,-4.658,0.00810396
343,-4.657,0.0115817
344,-4.656,0.0115817
345,-4.655,0.0115817
346,-4.654,0.00984281
347,-4.653,0.0133205
348,-4.652,0.0133205
349,-4.651,0.0133205
350,-4.65,0.0133205
351,-4.649,0.0150594
352,-4.648,0.0150594
353,-4.647,0.0133205
354,-4.646,0.0167982
355,-4.645,0.0167982
356,-4.644,0.0167982
357,-4.643,0.0167982
358,-4.642,0.0202759
359,-4.641,0.0202759
360,-4.64,0.0202759
361,-4.639,0.0202759
362,-4.638,0.0220148
363,-4.637,0.0220148
364,-4.636,0.0220148
365,-4.635,0.0220148
366,-4.634,0.0220148
367,-4.633,0.0220148
368,-4.632,0.0220148
369,-4.631,0.0220148
370,-4.63,0.0220148
371,-4.629,0.0220148
372,-4.628,0.0220148
373,-4.627,0.0220148
374,-4.626,0.0167982
375,-4.625,0.0202759
376,-4.624,0.0167982
377,-4.623,0.0167982
378,-4.622,0.0167982
379,-4.621,0.0133205
380,-4.62,0.0150594
381,-4.619,0.0115817
382,-4.618,0.0133205
383,-4.617,0.0115817
384,-4.616,0.0115817
385,-4.615,0.0115817
386,-4.614,0.00984281
387,-4.613,0.00984281
388,-4.612,0.00984281
389,-4.611,0.00984281
390,-4.61,0.00984281
391,-4.609,0.00984281
392,-4.608,0.0115817
393,-4.607,0.0115817
394,-4.606,0.0115817
395,-4.605,0.00984281
396,-4.604,0.0133205
397,-4.603,0.0133205
398,-4.602,0.0133205
399,-4.601,0.0133205
400,-4.6,0.0133205
401,-4.599,0.0133205
402,-4.598,0.0133205
403,-4.597,0.0133205
404,-4.596,0.0133205
405,-4.595,0.00984281
406,-4.594,0.0115817
407,-4.593,0.00984281
408,-4.592,0.00984281
409,-4.591,0.00984281
410,-4.59,0.00636511
411,-4.589,0.00636511
412,-4.588,0.00636511
413,-4.587,0.00636511
414,-4.586,0.00288741
415,-4.585,0.00462626
416,-4.584,0.00114856
417,-4.583,0.00288741
418,-4.582,0.00288741
419,-4.581,-0.000590291
420,-4.58,0.00114856
421,-4.579,0.00114856
422,-4.578,0.00114856
423,-4.577,0.00114856
424,-4.576,-0.00232914
425,-4.575,-0.000590291
426,-4.574,-0.000590291
427,-4.573,-0.00232914
428,-4.572,-0.00232914
429,-4.571,-0.00232914
430,-4.57,-0.00406799
431,-4.569,-0.00406799
432,-4.568,-0.00406799
433,-4.567,-0.00754569
434,-4.566,-0.00754569
435,-4.565,-0.00754569
436,-4.564,-0.00754569
437,-4.563,-0.00928454
438,-4.562,-0.00928454
439,-4.561,-0.00928454
440,-4.56,-0.00928454
441,-4.559,-0.00928454
442,-4.558,-0.00928454
443,-4.557,-0.00928454
444,-4.556,-0.00928454
445,-4.555,-0.00928454
446,-4.554,-0.0110234
447,-4.553,-0.0110234
448,-4.552,-0.0110234
449,-4.551,-0.0110234
450,-4.55,-0.0110234
451,-4.549,-0.0110234
452,-4.548,-0.0110234
453,-4.547,-0.0145011
454,-4.546,-0.0127622
455,-4.545,-0.0127622
456,-4.544,-0.0127622
457,-4.543,-0.0162399
458,-4.542,-0.0145011
459,-4.541,-0.0145011
460,-4.54,-0.0179788
461,-4.539,-0.0162399
462,-4.538,-0.0162399
463,-4.537,-0.0197176
464,-4.536,-0.0197176
465,-4.535,-0.0197176
466,-4.534,-0.0197176
467,-4.533,-0.0214565
468,-4.532,-0.0214565
469,-4.531,-0.0214565
470,-4.53,-0.0214565
471,-4.529,-0.0214565
472,-4.528,-0.0249342
473,-4.527,-0.0231954
474,-4.526,-0.0231954
475,-4.525,-0.0231954
476,-4.524,-0.0249342
477,-4.523,-0.0214565
478,-4.522,-0.0214565
479,-4.521,-0.0214565
